,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_warm_start,param_verbose,param_validation_fraction,param_tol,param_subsample,param_random_state,param_n_iter_no_change,param_n_estimators,param_min_weight_fraction_leaf,param_min_samples_split,param_min_samples_leaf,param_min_impurity_decrease,param_max_leaf_nodes,param_max_features,param_max_depth,param_loss,param_learning_rate,param_init,param_criterion,param_ccp_alpha,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.007507944107055664,0.0018776675539379278,0.0008087635040283203,0.00026684189964807357,False,0,0.2,0.1,0.7,42,5,1900,0.5,15,10,0.2,262,sqrt,400,squared_error,0.6,,friedman_mse,0.2,0.6,"{'warm_start': False, 'verbose': 0, 'validation_fraction': 0.2, 'tol': 0.1, 'subsample': 0.7, 'random_state': 42, 'n_iter_no_change': 5, 'n_estimators': 1900, 'min_weight_fraction_leaf': 0.5, 'min_samples_split': 15, 'min_samples_leaf': 10, 'min_impurity_decrease': 0.2, 'max_leaf_nodes': 262, 'max_features': 'sqrt', 'max_depth': 400, 'loss': 'squared_error', 'learning_rate': 0.6, 'init': None, 'criterion': 'friedman_mse', 'ccp_alpha': 0.2, 'alpha': 0.6}",0.0,-2.220446049250313e-16,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0,0.0,0.0,-2.220446049250313e-16,-8.881784197001253e-17,1.0877919644084146e-16,66
1,0.015484094619750977,0.004586538762369064,0.001624131202697754,0.002661406363018587,False,0,0.2,0.1,0.2,42,7,100,0.1,12,18,0.7,304,,,absolute_error,0.8,,friedman_mse,0.3,0.9,"{'warm_start': False, 'verbose': 0, 'validation_fraction': 0.2, 'tol': 0.1, 'subsample': 0.2, 'random_state': 42, 'n_iter_no_change': 7, 'n_estimators': 100, 'min_weight_fraction_leaf': 0.1, 'min_samples_split': 12, 'min_samples_leaf': 18, 'min_impurity_decrease': 0.7, 'max_leaf_nodes': 304, 'max_features': None, 'max_depth': None, 'loss': 'absolute_error', 'learning_rate': 0.8, 'init': None, 'criterion': 'friedman_mse', 'ccp_alpha': 0.3, 'alpha': 0.9}",0.0,0.06747352077418733,2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0,0.0,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.006747352077418734,0.0202420562322562,6
2,0.007339072227478027,0.004287851703280853,0.0007123470306396485,0.0002728344924109544,True,0,0.5,0.001,1.0,42,1,700,0.4,11,2,0.9,262,sqrt,1200,absolute_error,0.4,,friedman_mse,0.4,0.1,"{'warm_start': True, 'verbose': 0, 'validation_fraction': 0.5, 'tol': 0.001, 'subsample': 1.0, 'random_state': 42, 'n_iter_no_change': 1, 'n_estimators': 700, 'min_weight_fraction_leaf': 0.4, 'min_samples_split': 11, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.9, 'max_leaf_nodes': 262, 'max_features': 'sqrt', 'max_depth': 1200, 'loss': 'absolute_error', 'learning_rate': 0.4, 'init': None, 'criterion': 'friedman_mse', 'ccp_alpha': 0.4, 'alpha': 0.1}",0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,-2.2204460492503132e-17,1.1957467920563633e-16,14
3,0.015446901321411133,0.005346238365061162,0.0006948232650756836,0.00010157812580420113,False,0,0.2,0.001,0.2,42,5,1500,0.2,17,11,0.6,388,sqrt,800,quantile,0.1,,friedman_mse,0.5,0.9,"{'warm_start': False, 'verbose': 0, 'validation_fraction': 0.2, 'tol': 0.001, 'subsample': 0.2, 'random_state': 42, 'n_iter_no_change': 5, 'n_estimators': 1500, 'min_weight_fraction_leaf': 0.2, 'min_samples_split': 17, 'min_samples_leaf': 11, 'min_impurity_decrease': 0.6, 'max_leaf_nodes': 388, 'max_features': 'sqrt', 'max_depth': 800, 'loss': 'quantile', 'learning_rate': 0.1, 'init': None, 'criterion': 'friedman_mse', 'ccp_alpha': 0.5, 'alpha': 0.9}",0.0,-2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16,0.0,1.1102230246251565e-16,0.0,0.0,0.0,-2.220446049250313e-16,-3.3306690738754695e-17,1.4087150935148697e-16,23
4,0.010108566284179688,0.0029946115284893264,0.0006720304489135742,0.00015405556471062548,False,0,0.2,0.0001,0.9,42,1,1600,0.5,16,12,0.8,220,log2,1600,huber,0.7,,friedman_mse,0.8,0.1,"{'warm_start': False, 'verbose': 0, 'validation_fraction': 0.2, 'tol': 0.0001, 'subsample': 0.9, 'random_state': 42, 'n_iter_no_change': 1, 'n_estimators': 1600, 'min_weight_fraction_leaf': 0.5, 'min_samples_split': 16, 'min_samples_leaf': 12, 'min_impurity_decrease': 0.8, 'max_leaf_nodes': 220, 'max_features': 'log2', 'max_depth': 1600, 'loss': 'huber', 'learning_rate': 0.7, 'init': None, 'criterion': 'friedman_mse', 'ccp_alpha': 0.8, 'alpha': 0.1}",0.0,-2.220446049250313e-16,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16,-4.4408920985006264e-17,1.332267629550188e-16,31
5,0.011567902565002442,0.0028376141707481283,0.0008577108383178711,0.0003710851764945857,False,0,0.4,0.01,0.8,42,5,400,0.2,8,20,0.0,388,sqrt,600,absolute_error,0.3,,friedman_mse,0.7,0.3,"{'warm_start': False, 'verbose': 0, 'validation_fraction': 0.4, 'tol': 0.01, 'subsample': 0.8, 'random_state': 42, 'n_iter_no_change': 5, 'n_estimators': 400, 'min_weight_fraction_leaf': 0.2, 'min_samples_split': 8, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 388, 'max_features': 'sqrt', 'max_depth': 600, 'loss': 'absolute_error', 'learning_rate': 0.3, 'init': None, 'criterion': 'friedman_mse', 'ccp_alpha': 0.7, 'alpha': 0.3}",0.0,-2.220446049250313e-16,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.0,-2.220446049250313e-16,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-1.3322676295501878e-16,1.0877919644084148e-16,93
6,0.012770485877990723,0.0020318354274438542,0.0011900901794433595,0.0013931443499597149,True,0,0.5,0.1,0.8,42,7,700,0.0,17,1,0.3,178,,2000,quantile,0.8,,squared_error,0.0,0.8,"{'warm_start': True, 'verbose': 0, 'validation_fraction': 0.5, 'tol': 0.1, 'subsample': 0.8, 'random_state': 42, 'n_iter_no_change': 7, 'n_estimators': 700, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 17, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.3, 'max_leaf_nodes': 178, 'max_features': None, 'max_depth': 2000, 'loss': 'quantile', 'learning_rate': 0.8, 'init': None, 'criterion': 'squared_error', 'ccp_alpha': 0.0, 'alpha': 0.8}",1.1102230246251565e-16,-2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251566e-17,1.2609709600486847e-16,11
7,0.012936949729919434,0.0025584208933971124,0.0006907939910888672,0.00011975550445523139,True,0,0.5,0.1,0.4,42,7,600,0.2,8,19,0.9,52,log2,1200,absolute_error,0.6,,friedman_mse,0.6,0.9,"{'warm_start': True, 'verbose': 0, 'validation_fraction': 0.5, 'tol': 0.1, 'subsample': 0.4, 'random_state': 42, 'n_iter_no_change': 7, 'n_estimators': 600, 'min_weight_fraction_leaf': 0.2, 'min_samples_split': 8, 'min_samples_leaf': 19, 'min_impurity_decrease': 0.9, 'max_leaf_nodes': 52, 'max_features': 'log2', 'max_depth': 1200, 'loss': 'absolute_error', 'learning_rate': 0.6, 'init': None, 'criterion': 'friedman_mse', 'ccp_alpha': 0.6, 'alpha': 0.9}",0.0,-2.220446049250313e-16,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,-2.220446049250313e-16,-6.661338147750939e-17,1.0175362097255204e-16,48
8,0.013305997848510743,0.004889369306165553,0.000663924217224121,9.583851870563477e-05,True,0,0.1,0.01,0.6,42,7,1600,0.3,9,12,0.9,52,auto,600,absolute_error,0.9,,squared_error,0.8,0.9,"{'warm_start': True, 'verbose': 0, 'validation_fraction': 0.1, 'tol': 0.01, 'subsample': 0.6, 'random_state': 42, 'n_iter_no_change': 7, 'n_estimators': 1600, 'min_weight_fraction_leaf': 0.3, 'min_samples_split': 9, 'min_samples_leaf': 12, 'min_impurity_decrease': 0.9, 'max_leaf_nodes': 52, 'max_features': 'auto', 'max_depth': 600, 'loss': 'absolute_error', 'learning_rate': 0.9, 'init': None, 'criterion': 'squared_error', 'ccp_alpha': 0.8, 'alpha': 0.9}",0.0,-2.220446049250313e-16,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,-4.4408920985006264e-17,8.881784197001254e-17,31
9,0.019719386100769044,0.008909918577578273,0.0006826400756835937,7.350153628041283e-05,True,0,0.5,0.0001,0.7,42,5,1700,0.0,20,15,0.2,262,auto,200,absolute_error,0.3,,friedman_mse,0.2,0.7,"{'warm_start': True, 'verbose': 0, 'validation_fraction': 0.5, 'tol': 0.0001, 'subsample': 0.7, 'random_state': 42, 'n_iter_no_change': 5, 'n_estimators': 1700, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 20, 'min_samples_leaf': 15, 'min_impurity_decrease': 0.2, 'max_leaf_nodes': 262, 'max_features': 'auto', 'max_depth': 200, 'loss': 'absolute_error', 'learning_rate': 0.3, 'init': None, 'criterion': 'friedman_mse', 'ccp_alpha': 0.2, 'alpha': 0.7}",-0.03827746702557522,-2.220446049250313e-16,0.0,-2.220446049250313e-16,0.0,0.01791293507470615,0.0,0.0,0.061310259380179866,0.0,0.004094572742931036,0.023189071500769563,7
