,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_warm_start,param_verbose,param_validation_fraction,param_tol,param_subsample,param_random_state,param_n_iter_no_change,param_n_estimators,param_min_weight_fraction_leaf,param_min_samples_split,param_min_samples_leaf,param_min_impurity_decrease,param_max_leaf_nodes,param_max_features,param_max_depth,param_loss,param_learning_rate,param_init,param_criterion,param_ccp_alpha,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,1.1638636112213134,0.13376216741985208,0.00347285270690918,0.003723575236615682,False,0,0.2,0.001,1.0,42,,700,0.2,6,1,0.7,262,sqrt,1800,quantile,0.9,,friedman_mse,0.6,0.8,"{'warm_start': False, 'verbose': 0, 'validation_fraction': 0.2, 'tol': 0.001, 'subsample': 1.0, 'random_state': 42, 'n_iter_no_change': None, 'n_estimators': 700, 'min_weight_fraction_leaf': 0.2, 'min_samples_split': 6, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.7, 'max_leaf_nodes': 262, 'max_features': 'sqrt', 'max_depth': 1800, 'loss': 'quantile', 'learning_rate': 0.9, 'init': None, 'criterion': 'friedman_mse', 'ccp_alpha': 0.6, 'alpha': 0.8}",-0.20701402846809502,,-0.13105664667106645,,,,,-0.3143314073405432,,,,,1
1,0.0005097389221191406,0.00016941877273751068,0.0,0.0,False,0,0.1,0.01,0.3,42,,2000,0.3,12,16,0.2,94,,2000,squared_error,0.9,,friedman_mse,0.3,0.0,"{'warm_start': False, 'verbose': 0, 'validation_fraction': 0.1, 'tol': 0.01, 'subsample': 0.3, 'random_state': 42, 'n_iter_no_change': None, 'n_estimators': 2000, 'min_weight_fraction_leaf': 0.3, 'min_samples_split': 12, 'min_samples_leaf': 16, 'min_impurity_decrease': 0.2, 'max_leaf_nodes': 94, 'max_features': None, 'max_depth': 2000, 'loss': 'squared_error', 'learning_rate': 0.9, 'init': None, 'criterion': 'friedman_mse', 'ccp_alpha': 0.3, 'alpha': 0.0}",,,,,,,,,,,,,72
2,0.006872487068176269,0.003322623709459905,0.0013048648834228516,0.0011493913760241435,False,0,0.3,0.0001,0.9,42,1,2000,0.5,13,16,0.6,262,sqrt,,absolute_error,0.8,,friedman_mse,0.1,0.4,"{'warm_start': False, 'verbose': 0, 'validation_fraction': 0.3, 'tol': 0.0001, 'subsample': 0.9, 'random_state': 42, 'n_iter_no_change': 1, 'n_estimators': 2000, 'min_weight_fraction_leaf': 0.5, 'min_samples_split': 13, 'min_samples_leaf': 16, 'min_impurity_decrease': 0.6, 'max_leaf_nodes': 262, 'max_features': 'sqrt', 'max_depth': None, 'loss': 'absolute_error', 'learning_rate': 0.8, 'init': None, 'criterion': 'friedman_mse', 'ccp_alpha': 0.1, 'alpha': 0.4}",-0.15828664071943174,,-0.10009916109087846,,,,,-0.26978444195705253,,,,,71
3,0.014391779899597168,0.003711855803778937,0.0013984203338623046,0.0008503973169666607,True,0,0.4,0.01,0.7,42,3,200,0.2,9,9,0.1,220,log2,2000,huber,0.3,,squared_error,0.7,0.3,"{'warm_start': True, 'verbose': 0, 'validation_fraction': 0.4, 'tol': 0.01, 'subsample': 0.7, 'random_state': 42, 'n_iter_no_change': 3, 'n_estimators': 200, 'min_weight_fraction_leaf': 0.2, 'min_samples_split': 9, 'min_samples_leaf': 9, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 220, 'max_features': 'log2', 'max_depth': 2000, 'loss': 'huber', 'learning_rate': 0.3, 'init': None, 'criterion': 'squared_error', 'ccp_alpha': 0.7, 'alpha': 0.3}",-0.16099847055641384,,-0.09895920543869482,,,,,-0.2663841586152316,,,,,70
4,0.020386672019958495,0.005001233883017858,0.0012357711791992187,0.0006351240382291157,True,0,0.1,0.01,0.3,42,7,300,0.2,2,9,0.3,94,log2,1800,quantile,0.3,,squared_error,0.3,0.7,"{'warm_start': True, 'verbose': 0, 'validation_fraction': 0.1, 'tol': 0.01, 'subsample': 0.3, 'random_state': 42, 'n_iter_no_change': 7, 'n_estimators': 300, 'min_weight_fraction_leaf': 0.2, 'min_samples_split': 2, 'min_samples_leaf': 9, 'min_impurity_decrease': 0.3, 'max_leaf_nodes': 94, 'max_features': 'log2', 'max_depth': 1800, 'loss': 'quantile', 'learning_rate': 0.3, 'init': None, 'criterion': 'squared_error', 'ccp_alpha': 0.3, 'alpha': 0.7}",-0.19067387691067977,,-0.11848754928955663,,,,,-0.29763874168572224,,,,,69
5,0.012815165519714355,0.004564647706562189,0.0021265268325805662,0.0025785059539638884,True,0,0.1,0.0001,0.9,42,3,1500,0.3,2,15,1.0,52,sqrt,600,absolute_error,0.7,,friedman_mse,0.4,0.4,"{'warm_start': True, 'verbose': 0, 'validation_fraction': 0.1, 'tol': 0.0001, 'subsample': 0.9, 'random_state': 42, 'n_iter_no_change': 3, 'n_estimators': 1500, 'min_weight_fraction_leaf': 0.3, 'min_samples_split': 2, 'min_samples_leaf': 15, 'min_impurity_decrease': 1.0, 'max_leaf_nodes': 52, 'max_features': 'sqrt', 'max_depth': 600, 'loss': 'absolute_error', 'learning_rate': 0.7, 'init': None, 'criterion': 'friedman_mse', 'ccp_alpha': 0.4, 'alpha': 0.4}",-0.15667626778051488,,-0.09833012803769205,,,,,-0.26695102251658326,,,,,68
6,0.006958603858947754,0.0033586480988128907,0.001149129867553711,0.00048334796527179887,True,0,0.4,0.01,0.1,42,1,2000,0.0,3,14,1.0,388,sqrt,,quantile,0.7,,friedman_mse,0.7,0.8,"{'warm_start': True, 'verbose': 0, 'validation_fraction': 0.4, 'tol': 0.01, 'subsample': 0.1, 'random_state': 42, 'n_iter_no_change': 1, 'n_estimators': 2000, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 3, 'min_samples_leaf': 14, 'min_impurity_decrease': 1.0, 'max_leaf_nodes': 388, 'max_features': 'sqrt', 'max_depth': None, 'loss': 'quantile', 'learning_rate': 0.7, 'init': None, 'criterion': 'friedman_mse', 'ccp_alpha': 0.7, 'alpha': 0.8}",-0.2010263479246471,,-0.12010164242150878,,,,,-0.3155197808780871,,,,,67
7,0.02679440975189209,0.006063767558150627,0.0023959875106811523,0.002684172878277791,False,0,0.2,0.01,0.9,42,7,100,0.2,13,13,0.5,,auto,800,huber,0.8,,squared_error,0.9,0.8,"{'warm_start': False, 'verbose': 0, 'validation_fraction': 0.2, 'tol': 0.01, 'subsample': 0.9, 'random_state': 42, 'n_iter_no_change': 7, 'n_estimators': 100, 'min_weight_fraction_leaf': 0.2, 'min_samples_split': 13, 'min_samples_leaf': 13, 'min_impurity_decrease': 0.5, 'max_leaf_nodes': None, 'max_features': 'auto', 'max_depth': 800, 'loss': 'huber', 'learning_rate': 0.8, 'init': None, 'criterion': 'squared_error', 'ccp_alpha': 0.9, 'alpha': 0.8}",-0.14826978952018832,,-0.09572049115982147,,,,,-0.2602326758405353,,,,,66
8,0.005529284477233887,0.0020998595811539573,0.0010047674179077149,0.0004664356400732182,True,0,0.5,0.1,0.4,42,1,1800,0.1,13,4,0.6,346,sqrt,1800,absolute_error,0.9,,friedman_mse,0.5,0.1,"{'warm_start': True, 'verbose': 0, 'validation_fraction': 0.5, 'tol': 0.1, 'subsample': 0.4, 'random_state': 42, 'n_iter_no_change': 1, 'n_estimators': 1800, 'min_weight_fraction_leaf': 0.1, 'min_samples_split': 13, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.6, 'max_leaf_nodes': 346, 'max_features': 'sqrt', 'max_depth': 1800, 'loss': 'absolute_error', 'learning_rate': 0.9, 'init': None, 'criterion': 'friedman_mse', 'ccp_alpha': 0.5, 'alpha': 0.1}",-0.15575021880749182,,-0.105070053044074,,,,,-0.2806346042386818,,,,,65
9,0.0014489650726318359,0.0009271298477229739,0.0,0.0,True,0,0.5,0.01,0.6,42,7,1700,0.0,7,20,0.9,388,log2,1400,absolute_error,1.0,,friedman_mse,0.6,0.0,"{'warm_start': True, 'verbose': 0, 'validation_fraction': 0.5, 'tol': 0.01, 'subsample': 0.6, 'random_state': 42, 'n_iter_no_change': 7, 'n_estimators': 1700, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 7, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.9, 'max_leaf_nodes': 388, 'max_features': 'log2', 'max_depth': 1400, 'loss': 'absolute_error', 'learning_rate': 1.0, 'init': None, 'criterion': 'friedman_mse', 'ccp_alpha': 0.6, 'alpha': 0.0}",,,,,,,,,,,,,64
