,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_warm_start,param_verbose,param_validation_fraction,param_tol,param_subsample,param_random_state,param_n_iter_no_change,param_n_estimators,param_min_weight_fraction_leaf,param_min_samples_split,param_min_samples_leaf,param_min_impurity_decrease,param_max_leaf_nodes,param_max_features,param_max_depth,param_loss,param_learning_rate,param_init,param_criterion,param_ccp_alpha,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.009692955017089843,0.004670514731611534,0.0006235361099243164,0.00014417583884864706,True,0,0.2,0.01,0.4,42,5,1800,0.3,2,6,0.5,388,log2,1200,quantile,0.2,,squared_error,0.8,0.6,"{'warm_start': True, 'verbose': 0, 'validation_fraction': 0.2, 'tol': 0.01, 'subsample': 0.4, 'random_state': 42, 'n_iter_no_change': 5, 'n_estimators': 1800, 'min_weight_fraction_leaf': 0.3, 'min_samples_split': 2, 'min_samples_leaf': 6, 'min_impurity_decrease': 0.5, 'max_leaf_nodes': 388, 'max_features': 'log2', 'max_depth': 1200, 'loss': 'quantile', 'learning_rate': 0.2, 'init': None, 'criterion': 'squared_error', 'ccp_alpha': 0.8, 'alpha': 0.6}",-0.0662453451559312,-0.06635806960449055,-0.04402570247288347,-0.09769966830370895,-0.08782848672892914,-0.04579416207134348,-0.10944853410347866,-0.08618857156330044,-0.13470836498268382,-0.10245111291545206,-0.08407480179022017,0.02729574663030065,66
1,0.0006009578704833984,0.00012140952950588672,0.0,0.0,False,0,0.4,0.0001,0.1,42,,1100,0.3,10,19,0.0,262,log2,1600,quantile,0.4,,squared_error,0.6,0.0,"{'warm_start': False, 'verbose': 0, 'validation_fraction': 0.4, 'tol': 0.0001, 'subsample': 0.1, 'random_state': 42, 'n_iter_no_change': None, 'n_estimators': 1100, 'min_weight_fraction_leaf': 0.3, 'min_samples_split': 10, 'min_samples_leaf': 19, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 262, 'max_features': 'log2', 'max_depth': 1600, 'loss': 'quantile', 'learning_rate': 0.4, 'init': None, 'criterion': 'squared_error', 'ccp_alpha': 0.6, 'alpha': 0.0}",,,,,,,,,,,,,98
2,0.0007444143295288086,0.00013953309799895016,0.0,0.0,True,0,0.5,0.1,1.0,42,1,2000,0.4,7,3,0.3,304,auto,600,absolute_error,0.2,,friedman_mse,0.8,0.0,"{'warm_start': True, 'verbose': 0, 'validation_fraction': 0.5, 'tol': 0.1, 'subsample': 1.0, 'random_state': 42, 'n_iter_no_change': 1, 'n_estimators': 2000, 'min_weight_fraction_leaf': 0.4, 'min_samples_split': 7, 'min_samples_leaf': 3, 'min_impurity_decrease': 0.3, 'max_leaf_nodes': 304, 'max_features': 'auto', 'max_depth': 600, 'loss': 'absolute_error', 'learning_rate': 0.2, 'init': None, 'criterion': 'friedman_mse', 'ccp_alpha': 0.8, 'alpha': 0.0}",,,,,,,,,,,,,96
3,0.006882762908935547,0.0008890399420968753,0.0005446672439575195,0.00011712460419885643,True,0,0.4,0.01,0.9,42,5,100,0.5,6,13,0.2,262,auto,1600,absolute_error,0.6,,squared_error,0.2,0.7,"{'warm_start': True, 'verbose': 0, 'validation_fraction': 0.4, 'tol': 0.01, 'subsample': 0.9, 'random_state': 42, 'n_iter_no_change': 5, 'n_estimators': 100, 'min_weight_fraction_leaf': 0.5, 'min_samples_split': 6, 'min_samples_leaf': 13, 'min_impurity_decrease': 0.2, 'max_leaf_nodes': 262, 'max_features': 'auto', 'max_depth': 1600, 'loss': 'absolute_error', 'learning_rate': 0.6, 'init': None, 'criterion': 'squared_error', 'ccp_alpha': 0.2, 'alpha': 0.7}",-0.05491325248449812,-0.058894133337892014,-0.03856138092828133,-0.08581088534915138,-0.07581156828448618,-0.044762651364591205,-0.09665492146507144,-0.07842601245768877,-0.11895959179426083,-0.08633965222313542,-0.07391340496890567,0.023563489098216005,56
4,0.009833383560180663,0.0009218132016983661,0.0005299806594848633,4.421368894958761e-05,True,0,0.3,0.1,1.0,42,7,300,0.3,19,4,1.0,262,sqrt,1600,quantile,0.7,,squared_error,0.3,0.7,"{'warm_start': True, 'verbose': 0, 'validation_fraction': 0.3, 'tol': 0.1, 'subsample': 1.0, 'random_state': 42, 'n_iter_no_change': 7, 'n_estimators': 300, 'min_weight_fraction_leaf': 0.3, 'min_samples_split': 19, 'min_samples_leaf': 4, 'min_impurity_decrease': 1.0, 'max_leaf_nodes': 262, 'max_features': 'sqrt', 'max_depth': 1600, 'loss': 'quantile', 'learning_rate': 0.7, 'init': None, 'criterion': 'squared_error', 'ccp_alpha': 0.3, 'alpha': 0.7}",-0.07623262942789444,-0.07665180551085597,-0.05254088905019391,-0.1111081942033922,-0.10241080451963995,-0.05178378451100137,-0.12742328141366083,-0.09993265027359514,-0.1539850248475868,-0.11845143815358708,-0.09705205019114077,0.031203166492180877,74
5,0.006294918060302734,0.0017619253165902487,0.0004980325698852539,8.418319647940377e-05,False,0,0.4,0.01,0.1,42,7,400,0.0,4,1,0.0,262,sqrt,,squared_error,0.5,,squared_error,0.4,0.8,"{'warm_start': False, 'verbose': 0, 'validation_fraction': 0.4, 'tol': 0.01, 'subsample': 0.1, 'random_state': 42, 'n_iter_no_change': 7, 'n_estimators': 400, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_leaf_nodes': 262, 'max_features': 'sqrt', 'max_depth': None, 'loss': 'squared_error', 'learning_rate': 0.5, 'init': None, 'criterion': 'squared_error', 'ccp_alpha': 0.4, 'alpha': 0.8}",-0.04761312558776178,-0.05408476280402638,-0.047692514153461645,-0.07395063445684398,-0.06227020278579287,-0.06472458005889918,-0.08144818087219116,-0.07163220705643852,-0.0947783440952638,-0.07050467836933949,-0.06686992302400188,0.014160686218000873,27
6,0.0009306430816650391,0.00019573288896758116,0.0,0.0,True,0,0.5,0.1,0.8,42,7,300,0.4,10,11,0.9,52,sqrt,1800,quantile,0.7,,friedman_mse,0.8,0.0,"{'warm_start': True, 'verbose': 0, 'validation_fraction': 0.5, 'tol': 0.1, 'subsample': 0.8, 'random_state': 42, 'n_iter_no_change': 7, 'n_estimators': 300, 'min_weight_fraction_leaf': 0.4, 'min_samples_split': 10, 'min_samples_leaf': 11, 'min_impurity_decrease': 0.9, 'max_leaf_nodes': 52, 'max_features': 'sqrt', 'max_depth': 1800, 'loss': 'quantile', 'learning_rate': 0.7, 'init': None, 'criterion': 'friedman_mse', 'ccp_alpha': 0.8, 'alpha': 0.0}",,,,,,,,,,,,,99
7,0.01858181953430176,0.005940176107886145,0.001232290267944336,0.001971371313404438,True,0,0.1,0.0001,0.6,42,5,1200,0.5,11,10,0.8,10,,1000,quantile,1.0,,friedman_mse,0.3,0.3,"{'warm_start': True, 'verbose': 0, 'validation_fraction': 0.1, 'tol': 0.0001, 'subsample': 0.6, 'random_state': 42, 'n_iter_no_change': 5, 'n_estimators': 1200, 'min_weight_fraction_leaf': 0.5, 'min_samples_split': 11, 'min_samples_leaf': 10, 'min_impurity_decrease': 0.8, 'max_leaf_nodes': 10, 'max_features': None, 'max_depth': 1000, 'loss': 'quantile', 'learning_rate': 1.0, 'init': None, 'criterion': 'friedman_mse', 'ccp_alpha': 0.3, 'alpha': 0.3}",-0.06160791525346747,-0.07986050539304951,-0.07093529404930024,-0.08203389610020671,-0.0630754057280105,-0.09791225199719517,-0.08414740593526152,-0.08559196426521427,-0.09306500815467057,-0.07730564924070134,-0.07955352961170772,0.011208551095593808,64
8,0.0048280000686645504,0.0023628119691747667,0.0009474992752075195,0.0010325784383561896,True,0,0.3,0.001,0.8,42,3,1700,0.0,8,9,0.2,136,sqrt,600,squared_error,0.8,,squared_error,0.1,0.7,"{'warm_start': True, 'verbose': 0, 'validation_fraction': 0.3, 'tol': 0.001, 'subsample': 0.8, 'random_state': 42, 'n_iter_no_change': 3, 'n_estimators': 1700, 'min_weight_fraction_leaf': 0.0, 'min_samples_split': 8, 'min_samples_leaf': 9, 'min_impurity_decrease': 0.2, 'max_leaf_nodes': 136, 'max_features': 'sqrt', 'max_depth': 600, 'loss': 'squared_error', 'learning_rate': 0.8, 'init': None, 'criterion': 'squared_error', 'ccp_alpha': 0.1, 'alpha': 0.7}",-0.04611079670793399,-0.05460421758940892,-0.03851081256895439,-0.07379481420738418,-0.06309844774226897,-0.05291578842011766,-0.08275000378197946,-0.07131705228156911,-0.09892136007545844,-0.07286016297061763,-0.06548834563456928,0.017200488282682492,9
9,0.007204246520996094,0.0018537768500072377,0.0005919694900512696,8.164570703368843e-05,False,0,0.1,0.0001,1.0,42,3,1200,0.1,3,10,0.5,346,log2,,quantile,0.6,,friedman_mse,0.2,0.9,"{'warm_start': False, 'verbose': 0, 'validation_fraction': 0.1, 'tol': 0.0001, 'subsample': 1.0, 'random_state': 42, 'n_iter_no_change': 3, 'n_estimators': 1200, 'min_weight_fraction_leaf': 0.1, 'min_samples_split': 3, 'min_samples_leaf': 10, 'min_impurity_decrease': 0.5, 'max_leaf_nodes': 346, 'max_features': 'log2', 'max_depth': None, 'loss': 'quantile', 'learning_rate': 0.6, 'init': None, 'criterion': 'friedman_mse', 'ccp_alpha': 0.2, 'alpha': 0.9}",-0.10143140641752257,-0.0998907032281794,-0.07303959512600156,-0.13742393020095445,-0.12937590387474182,-0.06551361773061046,-0.15654740423017616,-0.12225937940001842,-0.18753467341313676,-0.14594138444938015,-0.12189579980707217,0.035851760629656906,84
